SPAC631.01c	151	99	152	121	105	83	213	245	144	114	134	154
SPAC637.03	300	286	318	244	301	284	222	263	136	131	111	135
SPAC688.02c	537	607	547	581	519	555	1097	901	1722	1877	1865	1922
SPAC6F12.06	600	497	738	772	538	480	1059	1048	1259	1104	1135	1123
SPAC6G9.09c	259	249	307	326	399	354	278	253	148	142	150	113
SPAC6G9.11	540	394	224	195	185	243	816	822	682	679	579	642
SPAC9.10	5212	5337	3609	3195	3393	3096	2893	3621	1948	1873	682	669
SPAC9.13c	0	0	0	0	0	0	0	0	0	0	0	0
SPAC922.05c	0	0	0	0	0	0	0	0	0	0	0	0
SPAC926.04c	10	8	13	5	7	7	15	27	2	4	8	3
SPAC977.16c	1276	1173	1264	995	818	762	1718	1784	1514	1236	817	760
SPAC977.17	270	255	114	117	101	120	536	581	323	319	235	222
SPAC9E9.06c	427	325	290	239	239	245	543	572	772	662	421	402
SPAPB1A11.02	538	547	537	425	365	367	1004	992	541	586	239	289
SPAPB1E7.02c	0	0	0	0	0	0	0	0	0	0	0	0
SPAPB24D3.10c	35	38	46	42	50	43	37	52	39	39	21	16
SPBC106.04	208	224	259	319	363	395	138	159	95	133	93	76
SPBC106.11c	0	0	0	0	0	0	1	0	0	0	0	0
SPBC1198.14c	0	0	0	0	0	0	0	0	0	0	0	0
SPBC11B10.03	1	0	0	0	0	0	0	0	0	0	0	0
SPBC11G11.06c	362	354	311	314	388	397	380	447	329	280	280	324
SPBC12D12.01	21	47	30	33	115	127	104	73	56	35	485	539
SPBC12D12.03	0	0	0	0	0	0	0	1	0	0	0	0
SPBC1306.02	0	1	0	0	0	0	0	1	0	0	0	0
SPBC14C8.15	937	931	741	693	682	621	486	537	274	206	125	151
SPBC14F5.10c	2	1	3	3	1	1	3	2	2	0	3	2
SPBC1604.06c	2741	2282	3045	2981	2664	2497	2218	2513	2466	2314	2032	2212
SPBC16C6.12c	8	4	0	2	0	0	388	1108	1	0	0	0
SPBC16D10.08c	4455	3990	6567	6896	6264	6139	1189	1417	5303	6120	2553	2646
SPBC16E9.16c	0	6	4	10	4	3	67	66	14	17	13	3
SPBC1703.04	2	5	11	2	5	0	16	11	3	0	1	2
SPBC1711.04	280	310	313	330	298	368	433	492	504	530	866	918
SPBC1711.14	683	573	728	635	495	439	918	1133	1132	893	459	491
SPBC1711.15c	0	0	0	0	0	0	0	0	0	0	0	0
SPBC1734.09	0	0	0	0	0	0	0	0	0	0	0	0
SPBC1778.02	4	8	2	0	0	0	5	3	1	1	0	1
SPBC17G9.04c	0	0	0	0	0	0	0	0	0	0	0	0
SPBC18H10.05	14	13	18	6	9	5	8	9	4	2	7	3
SPBC18H10.16	0	0	0	0	0	1	0	0	0	0	0	0
SPBC19F5.04	0	8	0	4	8	5	21	24	2	6	6	5
SPBC19G7.03c	0	0	0	0	0	0	0	0	0	0	0	0
SPBC19G7.13	0	0	0	0	0	0	0	0	0	0	0	0
SPBC1A4.04	1	0	0	0	0	0	0	0	0	0	0	0
SPBC1D7.05	888	707	1196	965	1084	1092	928	1095	767	622	267	233
SPBC23G7.06c	0	0	0	0	0	0	0	0	0	0	0	0
SPBC26H8.10	1236	1102	1086	907	995	980	1182	1157	920	874	410	429
SPBC27B12.09c	8	7	9	8	5	6	13	13	8	5	8	12
SPBC28E12.04	50	74	58	53	37	35	101	83	78	62	30	27
SPBC28F2.10c	0	0	1	0	0	0	2	0	0	0	2	1
SPBC29A3.16	0	0	9	6	12	18	0	0	0	0	0	0
SPBC2D10.11c	250	197	1246	1646	1505	1283	8	8	4	5	2	3
SPBC2D10.13	11	8	7	3	6	8	1	1	0	1	0	1
SPBC2G5.01	3251	3018	3145	2440	1873	1806	2969	2992	2475	2122	728	753
SPBC30D10.10c	226	188	372	279	324	284	297	306	193	119	150	145
SPBC31F10.02	0	0	0	0	0	0	0	0	0	0	0	0
SPBC31F10.15c	3118	3747	5053	4077	1827	1303	3920	4385	5440	5281	903	936
SPBC32F12.07c	325	212	317	254	359	376	327	324	317	289	195	209
SPBC336.04	536	434	613	552	651	616	479	498	260	240	428	494
SPBC354.08c	110	66	92	76	72	64	153	130	91	65	126	133
SPBC365.15	3178	2701	3788	2787	1503	1602	4481	5517	4466	3625	1504	1492
